text,sentiment,source,sentiment_original,LM_pos,LM_neg,VADER_compound,combined,confidence
"LIC claims a market share of 63% in total first year premium for financial year 2021-22. The number of policies sold increased by 3.54% to 2.17 crore in the financial year 2021-22 from 2.09 crore in the previous financial year.Life Insurance Corp of India (LIC) sold 2.17 crore insurance policies in fiscal 2021-22, up from 2.10 crore the previous year, a growth of 3.54%. Its total premium increased 12.66% to Rs 1.43 lakh crore in March 2022 from Rs 1.27 lakh crore a year ago.

During 2021-22, individual non-single premium rose 8.82% to Rs 30,016 crore from Rs 27,584 crore at the end of March 2021. The total first year premium (FYP) of the life insurer rose by 7.92% to Rs 1.98 lakh crore in March 2022 from Rs 1.84 lakh crore in the previous fiscal.

LIC claims a market share of 63% in total first year premium for financial year 2021-22. The number of policies sold increased by 3.54% to 2.17 crore in the financial year 2021-22 from 2.09 crore in the previous financial year.

Government owned LIC, the largest life insurer in India had filed the draft red herring prospectus (DRHP) for a 5% stake sale by the government on February 13. The issue was initially planned for the last fiscal year but market volatilities due to Russia's invasion of Ukraine delayed the process. Market experts have pegged the IPO size at around Rs 65,000 crore.

LIC's embedded value the core of its market value has been set at Rs 5.39 lakh crore as on 30 September 2021, according to the draft red herring prospectus.

Despite losing market share over the years LIC continues to dominate the insurance ecosystem. Though its 8% premium growth was lower than the 13% recorded by the industry and 23% by private sector players it still has 63% share in first year premiums and 75% share in terms of number of policies sold.",positive,Fin_Cleaned,Positive,2,2,0.9651,0.386,0.386
"AgenciesShares in Robinhood Markets Inc , the brokerage at the center of last year's retail trading frenzy, slipped to a record low on Thursday after it posted a 43% fall in first-quarter revenue and a decline in monthly active users.

 Shares of the Menlo Park, California-based firm dropped more than 12% to $8.83 in extended trading following the results. The shares, which have lost more than 43% of their market value so far this year, were sold in its IPO last July for $38 apiece.

 ""For most of our history, Robinhood has operated in a period of low interest rates, low inflation and rising markets. Our customers are now experiencing all three of these trends going in the opposite direction, perhaps for the first time in their lives,"" said Robinhood Chief Executive Officer Vlad Tenev on a call with analysts.

 Trading volumes have eased from last year's frenetic pace when retail investors used the platform to pump money into shares of so-called meme stocks including GameStop and AMC Entertainment.

 Robinhood said on Tuesday it was laying off about 9% of its full-time employees, adding rapid headcount growth had led to some duplicate roles and job functions.

 ""We're moving back to being a more lean company with a leaner operating model, starting with the reduction in force that we announced earlier this week,"" said Chief Financial Officer Jason Warnick on a call with reporters.

 High-growth technology stocks have come under pressure this year as the poor performance of shares and falling analyst confidence sours investor sentiment.

 Common with other high-growth tech firms, Robinhood has yet to turn a profit since its market debut. The company reported a net loss of $392 million or $0.45 per share in the three months ended March. A year earlier, which was before its IPO, it company posted net loss of $1.4 billion or $6.26 per share.

 Analysts on average had expected a net loss of $0.36 per share, according to IBES data from Refinitiv.

 Total net revenues decreased to $299 million, compared with $522 million a year earlier.

 Robinhood's monthly active users fell 10% to 15.9 million for March 2022, compared with 17.7 million for March 2021. The company attributed the decline to users with lower balances.

 Transaction-based revenue from cryptocurrencies, which has been a boon for Robinhood in previous quarters, fell 39% to $54 million.

We",positive,Fin_Cleaned,Negative,5,4,0.9201,0.825,0.825
"ReutersNifty continues to climb a wall of worry as it looks to be in the final leg of its rally before heading for a correction.Shares of Larsen & Toubro Infotech Ltd. gained 1.47 per cent to Rs 4101.75 in Monday's trade. It hit a high of Rs 4125.0 and low of Rs 4015.0 during the session. 

 On the technical charts, the 200-DMA of the stock stood at Rs 6003.46, while the 50-DMA was at Rs 5394.13. If a stock trades above 50-DMA and 200-DMA, it usually means the immediate trend is upward. On the other hand, if the stock trades below 50-DMA and 200-DMA, it is considered a bearish trend and if trades between these averages, then it suggests the stock can go either way. 

 The stock traded above the signal line of momentum indicator moving average convergence divergence, or MACD, signalling a bullish bias on the counter. The MACD is known for signalling trend reversal in traded securities or indices. It is the difference between the 26-day and 12-day exponential moving averages. A nine-day exponential moving average, called the signal line, is plotted on top of the MACD to reflect ""buy"" or ""sell"" opportunities. 

 On the other hand, the Relative Strength Index (RSI) of the stock stands at 27.91. Traditionally, a stock is considered overbought when the RSI value is above 70 and oversold when it is below 30. 

 The return on equity (RoE) for the stock stood at 26.05 per cent while the Return on Capital Employed (RoCE) was at 28.39. RoCE is a financial ratio that determines a company's profitability and the efficiency of capital use, while the RoE is a measure of profitability of a business in relation to the equit",positive,Fin_Cleaned,Positive,8,2,0.9612,0.9845,0.9845
"Getty ImagesINSIGHTS 
    	                    Read Stock Insights by ET for a quick analysis
    	                NSEBSECMM Infraprojects Ltd.PEER COMPANIESExplore NowNEW DELHI: The Nifty Auto index closed on a negative note on Friday. 

 Shares of MRF(up 1.41 per cent), Ashok Leyland(up 1.23 per cent) and Bharat Forge(up 0.14 per cent) ended the day as top gainers in the pack. 

 On the other hand, Escorts(down 3.77 per cent), Hero MotoCorp(down 2.05 per cent), TIINDIA(down 1.91 per cent), Maruti Suzuki(down 1.86 per cent) and Eicher Motors(down 1.8 per cent) finished as the top losers of the day. 

 The Nifty Auto index closed 1.15 per cent down at 10830.9. 

 Benchmark NSE Nifty50 index ended down 67.1 points at 15293.5, while the BSE Sensex stood down 135.37 points at 51360.42. 

 Among the 50 stocks in the Nifty index, 12 ended in the green, while 38 closed in the red. 

 Shares of Vodafone Idea, YES Bank, SAIL, Suzlon Energy and RBL Bank were among the most traded shares on the NSE. 

 Shares of Globesecure Technologies Ltd., HAL, Kohinoor Foods, Globe Intl. Carriers and CMM Infraprojects Ltd. hit their fresh 52-week highs in today's trade, while Biofil Chem, Vivimed Labs, SKM Egg Prod, JTL Infra and Jubilant Life hit their fresh 52-week lows.",positive,Fin_Cleaned,Negative,0,0,0.9814,0.3926,0.3926
"Shutterstock.comIndia 10-year bond tumbled by 0.64 per cent to 7.12 after trading in 7.11 - 7.18 range on Wednesday.The domestic equity market was set to open on a positive note on Thursday, tracking positive sentiments in Asian peers. US stocks settled mixed in overnight trade as Netflix weighed on the tech-heavy Nasdaq. Dollar gained some strength, whereas crude oil was in a tight range. Here's breaking down the pre-market actions:


STATE OF THE MARKETS

SGX Nifty signals positive startNifty futures on the Singapore Exchange traded 109 points, or 0.64 per cent, higher at 17,255.50, signaling that Dalal Street was headed for a positive start on Thursday.

ETMarkets Smart Talk: Indiaâ€™s investable landscape wider than other EMs despite premium valuations: Piyush Sharma

Tech View: Nifty50 on Wednesday snapped a five-day losing streak and closed just above its 50-day moving average after flirting with the 200-day moving average at day's high. Analysts said the index needs to take out 17,300 level decisively, before seeing any sustained momentum on the upside.
India VIX: The fear gauge dropped as much as 6 per cent to 18.67 level on Wednesday over its close at 19.78 on Tuesday.


Asian shares open with gainsAsian stocks opened mostly higher on Thursday, despite a mixed finish on Wall Street, where a big earnings miss by Netflix prompted a sell-off of the streaming giant's shares. MSCI's index of Asia-Pacific shares outside Japan was flat, merely up by 0.06 per cent.



Japan's Nikkei jumped 1.13%
Australia's ASX 200 rallied 0.22%
South Korea's Kospi gained 0.64%
China's Shanghai advanced 0.08%
Hong Kong's Hang Seng shed 0.58%


US stocks settle mixThe tech-heavy Nasdaq dropped on Wednesday as Netflix's surprise decline in subscribers weighed on both the streaming giant and other high-growth companies, which investors feared may face similar post-pandemic performance issues.



Dow Jones rallied 0.71% to 35,160.79
S&P 500 declined 0.06% to 4,459.45
Nasdaq retreated 1.22% to 13,453.07


Dollar edges upThe dollar edged up on Thursday supported by expectations for aggressive Federal Reserve monetary tightening, but was well off the previous day's peaks amid nervousness about what a gathering of finance ministers might say about its rapid appreciation.



Dollar Index was pinned at 100.45
Euro eased down to $1.08425
Pound slipped lower to $1.30555
Yen struggled at 128.335 per dollar
Yuan exchanged hands at 1.3006 against the greenback


Oil prices remain range-boundOil prices traded higher but in a narrow range on Thursday, after being rocked earlier in the week by supply losses from Libya and a worrying outlook for demand as the International Monetary Fund cut its global growth forecasts.

Brent crude futures rose 55 cents, or 0.5 per cent, to $107.35 a barrel at 0117 GMT. US West Texas Intermediate (WTI) crude futures gained 41 cents, or 0.4 per cent, to 102.60 a barrel.


FIIs sell shares worth Rs 3,009 crNet-net, foreign portfolio investors (FPIs) turned sellers of domestic stocks to the tune of Rs 3,009.26 crore, data available with NSE suggested. DIIs turned net buyers to the tune of Rs 2,645.82 crore, data suggests.


Q4 earnings todayHCL Technologies, Nestle India, ICICI Lombard General Insurance Company, L&T Technology Services, Tata Communications, Crisil, Cyient, Rallis India, Rajratan Global Wire, Sasken Technologies and Shiva Cement are the companies that will announce their March quarter results today.


Stocks in F&O ban todayOnly one stock- Tata Power- is under the F&O ban for Thursday. Securities in the ban period under the F&O segment include companies in which the security has crossed 95 per cent of the market-wide position limit.


MONEY MARKETS
Rupee: Snapping its four-day losing streak, the rupee appreciated by 20 paise to settle at 76.30 against the US dollar on Wednesday, tracking a weak greenback overseas and recovery in domestic equities.


10-year bonds: India 10-year bond tumbled by 0.64 per cent to 7.12 after trading in 7.11 - 7.18 range on Wednesday.


Call rates: The overnight call money rate weighted average stood at 3.52 per cent on Wednesday, according to RBI data. It moved in a range of 2.20-3.95 per cent.",positive,Fin_Cleaned,Positive,10,6,-0.8765,0.249,0.249
"Getty ImagesThe official list from AMFI is expected in the first week of July, which will be applicable from August 2022, till the end of January 2023.Mutual fund body AMFI is likely to announce the official list of the semi-annual review for the second half of 2022. Prior to this, various brokerage firms and analysts have launched their initial expectations for the same.

The official list from AMFI is expected in the first week of July, which will be applicable from August 2022, till the end of January 2023.

According to brokerage firm B&K Securities, two net listings Life Insurance Corporation of India (LIC) and Adani Wilmar would be added to the large cap categories. B&K has the cut of Rs 47,400 crore for the large cap companies.

Furthermore, about half a dozen companies including Adani Power, Cholamandalam Financial, Bank of Baroda, Hindustan Aeronautics, Bandhan Bank and Page Industries will be upgraded as largecaps from the midcaps' list.

However, Edelweiss Alternative Research believes that Hindustan Aeronautics and Page Industries will not be upgraded to the largecap category.

B&K expects eight stocks - Torrent Pharma, IDBI Bank, HDFC AMC, Godrej Properties, SAIL, Zydus Lifesciences, Jubilant Foodworks & PB Fintech - to be downgraded to midcap universe from the largecaps.

Edelweiss reported that Torrent Pharma and IDBI will remain in the largecap space, whereas both the firms expect Delhivery, Vedant Fashions and Motherson Sumi Wirings to be the new entry in the midcap space.

B&K expects seven stocks to move to midcaps from smallcaps which has the cut off Rs 16,500 crore. The list includes Tata Teleservices, KPR Mills, Tanla Platforms, Poonawalla Fincorp, Phoenix Mills, SKF India and Chambal Fertilizers.

According to B&K Securities, about a dozen stocks will make their entry in the smallcap space after ther downgrade from the midcap segment.

They include Aptus Value Housing, Gillette India, Ajanta Pharma, Alkyl Amines, Gujarat State Petronet, Happiest Minds, GR Infra, IndiaMART, Natco Pharma, UCO Bank, Aditya Birla Sun Life AMC and Nuvoco Vistas.

Furthermore, Edelweiss believes that recent listings such as Campus Activewear, Rainbow Children's Medicare, Paradeep Phosphates, Prudent Corporate Advisory, Ethos, AGS Transact, Vedana Learning and Venus pipes will join the smallcap universe.

As per the Circular released by Sebi in October 2017, the listed stocks must be strictly categorised into baskets with a well-defined classification of largecap, midcap and smallcap stocks.

This was to ensure uniformity in respect of the investment universe for equity mutual fund schemes. Sebi has also stipulated that AMFI shall prepare the list of stocks in this regard.

Accordingly, AMFI in consultation with SEBI and Stock Exchanges, prepares the list of stocks with categorization based on the market capitalization provided by BSE, NSE and MSEI.",positive,Fin_Cleaned,Positive,5,2,0.9595,0.9808,0.9808
"AgenciesIndia 10-year bond yield rose 0.37 per cent to 6 after trading in 5.99-6.01 range.Shares of Zee Entertainment Enterprises Ltd. traded at Rs 242.65 on BSE at 01:19PM (IST) on Monday, up 2.23 per cent from previous close. 

 The scrip quoted a 52-week low price of Rs 166.8 and a high of Rs 378.6. 

 Earlier, shares of the company saw a gap up opening in the morning. 
ETMarkets Smart Talk: Why this fund manager is happy to watch rally in Adani stocks from sidelines
 A total of 473,786 lakh shares changed hands on the counter till 01:19PM (IST). 

 The stock of Zee Entertainment Enterprises Ltd. commanded a market value of Rs 23340.53 crore, according to BSE. 

 The stock traded at a price-to-earning (P/E) multiple of 24.2, while the price-to-book value ratio stood at 2.55. Return on equity (ROE) was at 8.87 per cent, according to exchange data. 

 In the BSE500 pack, 432 stocks traded in the green, while 69 stocks were in the red. 

 The stock's beta value, which measures volatility in relation to the broader market, stood at 0.98. 


 Promotor/FII Holding
 Promoters held 0.22 per cent in Zee Entertainment Enterprises Ltd. as of 31-Mar-2022 while overseas and domestic institutional investors owned 47.86 per cent and 15.44 per cent, respectively. 


Moving averages The 200-DMA of the stock stood at 276.72 on May 30, while the 50-DMA was at 260.97. If a stock trades below 50-DMA and 200-DMA, it usually means the immediate trend is upward. On the other hand, if the stock trades below 50-DMA and 200-DMA, it is considered as bearish trend and if trades between 50-DMA and 200-DMA, then it suggests the stock can go either way.",neutral,Fin_Cleaned,Positive,1,2,0.9796,-0.0651,0.0651
"Shutterstock.comRSI has turned north from the 60 level, confirming bullishness.NEW DELHI: Shares of Gallantt Ispat, GSS Infotech, Swaraj Suiting Ltd., Sumitomo Chemical and Cupid Ltd, hit their fresh 52-week highs at 10:34AM(IST)on NSE. 

 Benchmark NSE Nifty index fell 100.6 points to 16968.5 amid selling in frontline bluechip stocks. 

 However, stocks such as Future Retail, Karda Const, Zee Learn, Future Enterprises (DVR)and Future Enterprises, touched their fresh 52-week low. 

 Overall, 14 shares traded in the green in Nifty50 index, while 36 traded in the red. 

 In the Nifty 50 index, ONGC, Britannia, Power Grid, NTPC and UPL were among top gainers, while Apollo Hospital, Titan Company, Dr. Reddys, Cipla and Sun Pharma traded in the red. 

 The BSE Sensex was trading 314.04 points down at 56661.95 at 10:34AM(IST). 

 Traders were seen piling up positions in Industrial Equipment, Holding Company, Telecommunications, Mining and Tobacco sectors, while selling was visible in Agro Processing, Tourism & Hospitality, Media & Entertainment, Learning & Education and Gems and Jewellery sectors.",positive,Fin_Cleaned,Negative,0,0,0.9313,0.3725,0.3725
"ReutersStocks in focus: RIL, Tata Motors, Infosys, IIFL Securities, Apollo Hospitals, Punjab National Bank, NBCC and more..NEW DELHI: Shares of Hardwyn India, Ritco Logistics, Eldeco Housing, Cool Caps Industries Ltd. and Nagreeka Export, hit their fresh 52-week highs at 10:09AM(IST)on NSE. 

 Benchmark NSE Nifty index fell 175.15 points to 17499.8 amid selling in frontline bluechip stocks. 

 However, stocks such as Vaxtex Cotfab and Innovative Tyres & T, touched their fresh 52-week low. 

 Overall, 5 shares traded in the green in Nifty50 index, while 45 traded in the red. 

 In the Nifty 50 index, Maruti Suzuki, HDFC Life, TCS, ITC and Kotak Bank were among top gainers, while Hindalco, Coal India Ltd, Tata Steel, Tata Motors and Grasim Inds. traded in the red. 

 The BSE Sensex was trading 506.22 points down at 58458.35 at 10:09AM(IST). 

 Traders were seen piling up positions in Agro Processing, Telecommunications, Power, Rubber and Tobacco sectors, while selling was visible in Industrial Consumables, Textiles, Irrigation & Allied Services, Metals - Non Ferrous and Mining sectors.",positive,Fin_Cleaned,Negative,1,0,0.9552,0.839,0.839
"ReutersOne must understand that while inflation will always tend to push asset prices higher, this period of high inflation is cyclical.san Francisco Federal Reserve Bank President Mary Daly said Wednesday she sees a couple of half-point interest rate hikes ahead as the central bank battles too-high inflation, lifting rates to 2.5% by the end of the year.

""I see a couple of 50 basis point hikes immediately in the next couple of meetings to get there. And then we need to look around and see what else is going on,"" Daly said in a CNBC interview. ""Letâ€™s get there as quickly as we can,"" she said on getting to neutral, which she estimates at 2.5%.


T",positive,Fin_Cleaned,Negative,0,0,0.4404,0.1762,0.1762
"AgenciesMazhar Mohammad of Chartviewindia.in said technical indicators are turning mixed as the weekly MACD chart has generated a 'buy' signal, giving an edge to the bulls.NEW DELHI: Stampede Cap, McDowell Hold, Swaraj Suiting Ltd., GMR Power and Urban Infra Ltd. and Ganga Forging and others were among the stocks that touched their 52-week lows as of 10:44AM(IST)in Monday's session. 

 Domestic benchmark index NSE Nifty gained 361.7 points to 18032.15, while the BSE Sensex traded 1345.17 points up at 60621.86. 

 On the other hand, Shaily Engg Pla, Genus Paper Boards, Raj Rayon, Cosmo Films and Vadilal Ind stocks hit their fresh 52-week highs today. 

 In the Nifty 50 index, HDFC, HDFC Bank, HDFC Life, Hero MotoCorp and Bharti Airtel were among the top gainers on the NSE. 

 ONGC, Infosys, Maruti Suzuki, M&M and IndusInd Bank were among the top losers.",positive,Fin_Cleaned,Positive,1,0,0.9201,0.825,0.825
"Getty ImagesNagaraj Shetti, Technical Research Analyst at HDFC Securities, believes Monday's pattern could be considered as a High Wave, which reflects high volatility in the market at swing highs.Shares of Voltas Ltd. slipped 4.33 per cent to Rs 1247.95 in Monday's trade. It hit a high of Rs 1285.35 and low of Rs 1242.15 during the session. 

 On the technical charts, the 200-DMA of the stock stood at Rs 1180.29, while the 50-DMA was at Rs 1239.5. If a stock trades above 50-DMA and 200-DMA, it usually means the immediate trend is upward. On the other hand, if the stock trades below 50-DMA and 200-DMA, it is considered a bearish trend and if trades between these averages, then it suggests the stock can go either way. 

 The stock traded below the signal line of momentum indicator moving average convergence divergence, or MACD, signalling a bearish bias on the counter. The MACD is known for signalling trend reversal in traded securities or indices. It is the difference between the 26-day and 12-day exponential moving averages. A nine-day exponential moving average, called the signal line, is plotted on top of the MACD to reflect ""buy"" or ""sell"" opportunities. 

 On the other hand, the Relative Strength Index (RSI) of the stock stands at 46.22. Traditionally, a stock is considered overbought when the RSI value is above 70 and oversold when it is below 30. 

 The return on equity (RoE) for the stock stood at 10.51 per cent while the Return on Capital Employed (RoCE) was at 9.56. RoCE is a financial ratio that determines a company's profitability and the efficiency of capital use, while the RoE is a measure of profitability of a business in relation to the equit",positive,Fin_Cleaned,Negative,6,3,0.9682,0.9843,0.9843
"Getty ImagesShrikant Chouhan of Kotak Securities said Nifty50 topping the 15,800 mark was completely unexpected.Shares of the Tata Power Company Ltd. traded at Rs 208.75 on BSE at 12:28PM (IST) on Monday, up 0.43 per cent from previous close. 

 The scrip quoted a 52-week low price of Rs 118.4 and a high of Rs 298.0. 

 Earlier, the stock saw a gap up opening in the morning. 
ETMarkets Smart Talk: Srikanth Subramanian decodes factors that could derail momentum on D-St
 A total of 484,299 lakh shares changed hands on the counter till 12:28PM (IST). 

 The stock of Tata Power Company Ltd. commands a market value of Rs 66622.83 crore. 

 The stock traded at a price-to-earning (P/E) multiple of 38.26, while the price-to-book value ratio stood at 3.4. Return on equity (ROE) was at 7.75 per cent, according to exchange data. 

 In the BSE500 pack, 421 stocks traded in the green, while 80 stocks were in the red. 


 Promotor Holding
 Promoters held 46.86 per cent in the Tata Power Company Ltd. as of 31-Mar-2022 while overseas and domestic institutional investors owned 10.82 per cent and 15.88 per cent, respectively.",positive,Fin_Cleaned,Positive,2,0,0.8402,0.9145,0.9145
"Getty ImagesRetail and banking stocks rose 0.5 per cent and 0.7 per cent, respectively.Shares of Petronet LNG Ltd. gained 0.79 per cent to Rs 228.65 in Monday's trade. It hit a high of Rs 228.65 and low of Rs 225.4 during the session. 

 On the technical charts, the 200-DMA of the stock stood at Rs 219.44, while the 50-DMA was at Rs 209.79. If a stock trades above 50-DMA and 200-DMA, it usually means the immediate trend is upward. On the other hand, if the stock trades below 50-DMA and 200-DMA, it is considered a bearish trend and if trades between these averages, then it suggests the stock can go either way. 

 The stock traded above the signal line of momentum indicator moving average convergence divergence, or MACD, signalling a bullish bias on the counter. The MACD is known for signalling trend reversal in traded securities or indices. It is the difference between the 26-day and 12-day exponential moving averages. A nine-day exponential moving average, called the signal line, is plotted on top of the MACD to reflect ""buy"" or ""sell"" opportunities. 

 On the other hand, the Relative Strength Index (RSI) of the stock stands at 62.12. Traditionally, a stock is considered overbought when the RSI value is above 70 and oversold when it is below 30. 

 The return on equity (RoE) for the stock stood at 25.15 per cent while the Return on Capital Employed (RoCE) was at 28.06. RoCE is a financial ratio that determines a company's profitability and the efficiency of capital use, while the RoE is a measure of profitability of a business in relation to the equity.",positive,Fin_Cleaned,Positive,8,2,0.9698,0.9879,0.9879
"Getty ImagesShrikant Chouhan of Kotak Securities said Nifty50 topping the 15,800 mark was completely unexpected.Shares of Hindustan Petroleum Corporation Ltd. slipped 2.34 per cent to Rs 227.55 in Monday's trade as of 01:44PM (IST). 

 The stock hit a high price of Rs 233.0 and low of Rs 225.1 during the session. 

 The return on equity (ROE) for the stock stood at 17.61 per cent. Traded volume on the counter stood at 01:44PM shares and turnover at Rs 9.45 crore around that time. 
ETMarkets Smart Talk: Srikanth Subramanian decodes factors that could derail momentum on D-St
 The stock of Hindustan Petroleum Corporation Ltd. quoted a 52-week high and 52-week low prices of Rs 354.55 and Rs 225.1, respectively. 

 The Beta value of the counter, which measures its volatility in relation to the broader market, stood at 1.6. 


Promotor/FII Holding
 Promoters held 54.9 per cent stake in the company as of 31-Mar-2022, while FIIs held 19.9 per cent and domestic institutional investors had 15.09 per cent. 


Key Financials
 The company reported consolidated sales of Rs 98818.1 crore for the quarter ended 31-Mar-2022, up 1.72 per cent from previous quarter's Rs 97146.5 crore and up 31.07 per cent from the year-ago quarter's Rs 75394.63 crore. 

 Net profit after tax for the latest quarter stood at Rs 2018.45 crore, down 34.05 per cent from the same quarter a year ago.",positive,Fin_Cleaned,Negative,3,1,0.8126,0.9035,0.9035
"AgenciesOverall, market breadth favoured losers as 870 stocks ended in the green, while 2,491 names settled with cuts.NEW DELHI: The selling pressure continues to mount day by day as the headwinds become stronger. Analysts advise to be cautious and stock only quality names.

Here's how analysts read the market pulse:-

Nifty50 is currently placed near the 78.60 per cent of Fibonacci retracement, while any further sell-off could drag it towards the psychological mark of 16,000 in the near future, said Osho Krishan of Angel One.
ETMarkets Smart Talk: Why this fund manager is happy to watch rally in Adani stocks from sidelines
Nagaraj Shetti at HDFC Securities said the short-term trend of the Nifty50 continues to be negative.
That said, hereâ€™s a look at what some key indicators are suggesting for Wednesdayâ€™s action:


US Stocks Whipsaw After Brief Rally
Stocks whipsawed on concern the Federal Reserve may have to take a more aggressive stance to combat soaring prices, a move that would raise the risks of pushing the economy toward a recession.

 The Dow Jones Industrial Average was last down more than 180 points, or 0.6% after rising more than 500 points earlier in the session. The S&P 500 and Nasdaq Composite slipped about 0.5% and 0.2%, respectively, stepping back an early rally.


European Stocks Rise From Two-Month Low
European stocks gained slightly on Tuesday as traders returned to risk assets, encouraged by cheaper valuations following four straight days of steep declines amid fears of a recession and tighter monetary policy.

The Stoxx Europe 600 Index closed up 0.7% after hitting a two-month low in the previous session.


Tech View: Indecisive Candle
Nifty50 fell for the third day and continued with its lower high-low formations. The index made an indecisive candle on the daily chart, with a long upper wick, as the bears thwarted the bulls' attempt to make a comeback.


F&O: Resistance at 16,500
On the call side highest OI was witnessed at 16,500, followed by a 16,700 strike price, while on the put side, the highest OI was at 16,000, followed by a 16,200 strike price, providing support to the Nifty index.


Stocks Showing Bullish Bias
Momentum indicator Moving Average Convergence Divergence (MACD) showed bullish trade setup on the counters of Oracle Financial Services.

The MACD is known for signaling trend reversals in traded securities or indices. When the MACD crosses above the signal line, it gives a bullish signal, indicating that the price of the security may see an upward movement and vice versa.


Stocks signalling Weakness AheadThe MACD showed bearish signs on the counters of Blue Dart, HDFC Life, Castrol India, Schaeffler India, Amber Enterprises and Mahindra CIE. A bearish crossover on the MACD on these counters indicated that they have just begun their downward journey.


Most Active Stocks In Value Terms
Reliance Industries (Rs 2247 crore), Tata Steel (Rs 1742 crore), HDFC Bank (Rs 1342 crore), GNFC (Rs 1093 crore), Infosys (Rs 969 crore), HDFC (Rs 925 crore) and ICICI Bank (Rs 910 crore) were among the most active stocks on NSE in value terms. Higher activity on a counter in value terms can help identify the counters with the highest trading turnovers in the day.


Most Active Stocks In Volume Terms
Vodafone Idea (Shares traded: 10 crore), YES Bank (Shares traded: 7 crore), Zomato (Shares traded: 5 crore), GTL Infra (Shares traded: 3 crore), SAIL (Shares traded: 3 crore) and Vikas Ecotech (Shares traded: 3 crore) were among the most traded stocks in the session on NSE.


Stocks Showing Buying Interest
Power Grid witnessed strong buying interest from market participants as they scaled their fresh 52-week highs, signalling bullish sentiment.


Stocks Seeing Selling PressureZomato, Infibeam Avenues, Indo Count Industries, Natco Pharma, Nazara Tech, Dhani Services and Solara Active Pharma witnessed strong selling pressure and hit their 52-week lows, signalling bearish sentiment on the counters.


Sentiment Meter Favours Bears
Overall, market breadth favoured losers as 870 stocks ended in the green, while 2,491 names settled with cuts.",negative,Fin_Cleaned,Negative,8,10,0.9801,-0.1864,0.1864
"AgenciesThe microfinance arm of the Muthoot Pappachan Group plans to revise rates from Monday.Kolkata: Borrowing costs for bottom-of-the-pyramid customers have begun to climb as the regulator removed the margin cap on NBFC-MFIs. Certain lenders have revised their lending rates upward by as much as 350 basis points as they apply risk-based pricing to arrest the asset quality degradation and the loss they suffered in the last three years. Several others are expected to follow suit, industry captains said.

""With the deregulation of interest rates, we can now price for credit risk. So, a new-to-credit customer would pay slightly higher rates. But they can enjoy the benefit of lower rates after a few credit cycles if they show good credit behaviour and repayment record,"" Arohan Financial Services managing director Manoj Kumar Nambiar told ET.

At least half-a-dozen MFIs including Arohan have revised their lending rates upward in the first week of April. They have fixed their rates 100-350 basis points higher at 23-24% per annum, excluding processing fees, industry sources said. 

""Please do remember that effective median rates of deregulated entities (read: universal banks, small finance banks and non-banking finance companies) was around 24% before the uniform regulations on microfinance,"" Nambiar said.

The rise in incremental costs of borrowing for NBCF-MFIs is another reason behind the abrupt change in lending rates.

""Hardening of market interest rates is the real reason. Bond yields have risen to 7%,"" said Sadaf Sayeed, chief executive of Muthoot Microfin.

The microfinance arm of the Muthoot Pappachan Group plans to revise rates from Monday.

The sharper rise in lending rates is likely for new customers with no credit history as risk-based pricing will be introduced given the fact that every lender suffered huge losses during the last three years, the chief executive of a north India-focused MFI said.

Credit bureau CRIF High Mark recently flagged that about â‚¹24,500 crore - which is 9.3% of the total microfinance portfolio of â‚¹2.64 lakh crore - remained unpaid even after 180 days of the due date, driving credit costs high for all microfinance lenders including NBFC-MFIs, impacting their profit numbers. 

""There may be temporary upward movement but gradually it will come down. Interest rates will reduce with good credit behaviour and repayment track record,"" said Satya MicroCapital managing director Vivek Tiwari.

Earlier, in a regulated rate regime when interest rates charged by MFIs to borrowers were fixed based on a maximum 10% margin over costs of funds, the average rate of interest had come down to 20.83% during the third quarter of FY22 from 23.66% during the second quarter of FY21, according to sources. Based on the new uniform regulations, which came into force on April 1, all the lenders engaged in microfinance have to put in place a board-approved well-documented interest rate model/approach for arriving at the all-inclusive interest rates.",positive,Fin_Cleaned,Negative,9,5,0.9963,0.9981,0.9981
"Getty ImagesIndia 10-year bond yield fell 0.41 per cent to 5.89 after trading in 5.87-5.91 rangeNEW DELHI: Several stocks plunged in excess of 5 per cent in Mumbai trading on Thursday even as equity benchmark BSE Sensex traded 443.19 points up at 52265.72 amid brisk buying in frontline bluechip counters. 

 On the BSE, Milestone Furniture(down 18.85 per cent), Anjani Finance(down 14.59 per cent), Shristi Infra(down 13.05 per cent), Ashoka Metcast(down 13.04 per cent) and Olympic Cards(down 12.97 per cent) stood among the top losers in today's trade. 

 In the Nifty pack, 44 stocks closed in the green, while 6 stocks ended in the red. 

 The index closed 143.35 points up at 15556.65. 

 On the BSE, Milestone Furniture, Shristi Infra, Wardwizard Innov(PP), Machino Plastic and Earum Pharmaceutical hit their fresh 52-week lows, while Gensol Engg, Confidence Futurist, Sterling Green, Sonal Adhesives and Gayatri Tissue touched their fresh 52-week highs in today's trade.",positive,Fin_Cleaned,Positive,2,0,0.7783,0.8897,0.8897
